game_name,release_date,developer,user_defined_tags,supported_os,price,estimated_downloads,reviews_like_rate,name,rating_score,category,source,name_key
R.E.P.O.,2025-02-26,semiwork,Early Access|Horror,win,5.79,12950000,96,R.E.P.O.,96.0,Independent Game,steam,r.e.p.o.
Rift Riff,2025-05-09,Adriaan de Jongh,Strategy|Building|Action,win|mac|linux,3.99,8400,98,Rift Riff,98.0,Action/Adventure Game,steam,rift riff
Rocket Rats,2024-12-17,Gagonfe,Action|Roguelike|Pixel Graphics|2D,win,3.59,47100,96,Rocket Rats,96.0,Action Game,steam,rocket rats
Royal Quest Online,2024-12-19,BASE,MMORPG|Fantasy|Adventure,win,0.0,591400,81,Royal Quest Online,81.0,Multiplayer,steam,royal quest online
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Independent Game,steam,schedule i
Secret Agent Wizard Boy and the International Crime Syndicate,2025-03-06,John Szymanski,Early Access|Adventure|Sandbox,win,5.79,33400,96,Secret Agent Wizard Boy and the International Crime Syndicate,96.0,Independent Game,steam,secret agent wizard boy and the international crime syndicate
Seeds of Calamity,2025-05-28,Laborious Lark Studios,Early Access|Simulation|RPG,win,7.99,1100,96,Seeds of Calamity,96.0,Independent Game,steam,seeds of calamity
Skarab,2025-04-24,DOSMan Games,Adventure|FPS,win,1.99,1000,100,Skarab,100.0,Action/Adventure Game,steam,skarab
Small Spaces,2025-05-27,Niklas Tomkowitz,Early Access|Simulation|Building,win,7.29,4000,100,Small Spaces,100.0,Independent Game,steam,small spaces
Snacko,2025-05-25,Bluecurse Studios,Cute|Building,win|linux,12.49,19800,97,Snacko,97.0,Sim/Strategy Game,steam,snacko
Sol Cesto,2025-05-27,Tambouille,Early Access|Tactical|Puzzle|Roguelike|Turn-Based,win,6.59,9100,97,Sol Cesto,97.0,Independent Game,steam,sol cesto
Sorry We're Closed,2024-11-14,à la mode games,Survival|Horror|FPS|Fantasy,win,12.49,84900,98,Sorry We're Closed,98.0,Action Game,steam,sorry we're closed
Split Fiction,2025-03-06,Hazelight Studios,Platformer|Story Rich|Adventure,win,49.99,3800000,97,Split Fiction,97.0,Narrative,steam,split fiction
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2025-03-06,KONAMI,JRPG|Pixel Graphics|2D|Story Rich,win,22.99,72600,95,Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,95.0,Narrative,steam,suikoden i&ii hd remaster gate rune and dunan unification wars
Synthwave Driver,2025-05-20,Runebox Studios,Early Access|Driving,win,1.99,720,85,Synthwave Driver,85.0,Sports/Racing Game,steam,synthwave driver
The Bibites: Digital Life,2025-03-05,Omnia Studios,Early Access|Simulation|2D,win|mac|linux,7.5,3800,97,The Bibites: Digital Life,97.0,Independent Game,steam,the bibites: digital life
The Boba Teashop,2025-04-21,Mike Ten,Horror|Action|Management,win,2.99,14100,97,The Boba Teashop,97.0,Action Game,steam,the boba teashop
The Mr. Rabbit Magic Show,2025-04-30,Rusty Lake,Adventure|Puzzle,win|mac,0.0,393100,98,The Mr. Rabbit Magic Show,98.0,Action/Adventure Game,steam,the mr. rabbit magic show
The NOexistenceN of you AND me,2024-12-16,Fontainebleau,Visual Novel|Horror,win|mac,1.49,232000,94,The NOexistenceN of you AND me,94.0,Narrative,steam,the noexistencen of you and me
The Quinfall,2025-01-24,Vawraek Technology Inc.,Early Access|MMORPG,win,15.99,235300,47,The Quinfall,47.0,Multiplayer,steam,the quinfall
to a T,2025-05-28,uvula LLC,Adventure|Puzzle,win,9.49,380,98,to a T,98.0,Action/Adventure Game,steam,to a t
White Knuckle,2025-04-17,Dark Machine Games,Early Access|Horror|Platformer|Survival,win,7.29,91400,98,White Knuckle,98.0,Independent Game,steam,white knuckle
Without a Dawn,2025-05-19,Jesse Makkonen,Visual Novel|Horror|Story Rich,win,4.49,3900,96,Without a Dawn,96.0,Narrative,steam,without a dawn
World of Football,2024-11-20,Vault Game Studio,Sports,win,4.99,4200,86,World of Football,86.0,Sports/Racing Game,steam,world of football
