name,platform,release_date,metascore,user_score,developer,publisher,genre
Mecha BREAK,PC,2025-07-01,68.0,5.8,Amazing Seasun Games,Amazing Seasun Games,Vehicle Combat Sim
Shadow Labyrinth,PlayStation 5,2025-07-18,68.0,7.4,Bandai Namco Games,Bandai Namco Games,Metroidvania
INAYAH: Life After Gods,PC,2025-03-27,68.0,2.5,ExoGenesis Studios,Headup Games,Metroidvania
Yu-Gi-Oh! Early Days Collection,Nintendo Switch,2025-02-27,68.0,8.3,Digital Eclipse,Konami,Compilation
Dead Reset,PC,2025-09-11,68.0,7.8,Dark Rift Horror,Wales Interactive,Adventure
Warriors: Abyss,PlayStation 5,2025-02-12,68.0,7.6,Omega Force,Koei Tecmo Games,3D Beat-'Em-Up
Spirit of the North 2,PC,2025-05-08,70.0,8.9,Infuse Studio,Silver Lining Interactive|Soft Source Pte Ltd,Third-Person Adventure
Spirit of the North 2,PlayStation 5,2025-05-08,68.0,7.6,Infuse Studio,Silver Lining Interactive|Soft Source Pte Ltd,Third-Person Adventure
JDM: Japanese Drift Master,PC,2025-05-21,68.0,6.6,Gaming Factory S.A.,Gaming Factory S.A.,Auto Racing
Carmen Sandiego,PlayStation 5,2025-03-04,68.0,5.8,Gameloft,Gameloft|Maximum Entertainment,Action Adventure
