name,platform,release_date,metascore,user_score,developer,publisher,genre
RoadCraft,PlayStation 5,2025-05-20,78.0,7.4,Saber Interactive,Focus Entertainment,Vehicle Sim
RoadCraft,PC,2025-05-20,78.0,8.0,Saber Interactive,Focus Entertainment,Vehicle Sim
Date Everything!,PlayStation 5,2025-06-17,74.0,7.8,Sassy Chap Games,Team17,First-Person Adventure
Date Everything!,PC,2025-06-17,78.0,6.6,Sassy Chap Games,Team17,First-Person Adventure
Loco Motive,PC,2024-11-21,77.0,6.6,Robust Games,Chucklefish,Point-and-Click
The Midnight Walk,PlayStation 5,2025-05-08,77.0,8.4,MoonHood Studios,Fast Travel Games,Action Adventure
The Midnight Walk,PC,2025-05-08,79.0,8.2,MoonHood Studios,Fast Travel Games,Action Adventure
Donkey Kong Country Returns HD,Nintendo Switch,2025-01-16,77.0,7.1,Forever Entertainment,Nintendo,2D Platformer
Elden Ring Nightreign,PlayStation 5,2025-05-30,77.0,6.7,From Software,Bandai Namco Games|From Software,Action RPG
Elden Ring Nightreign,Xbox Series X,2025-05-30,84.0,5.8,From Software,Bandai Namco Games|From Software,Action RPG
Elden Ring Nightreign,PC,2025-05-30,80.0,6.4,From Software,Bandai Namco Games|From Software,Action RPG
Promise Mascot Agency,PC,2025-04-10,77.0,7.8,Kaizen Game Works,Kaizen Game Works,Open-World Action
Mandragora: Whispers of the Witch Tree,PC,2025-04-17,73.0,7.9,Primal Game Studio,MY.GAMES|Knights Peak|Beep Japan,Metroidvania
Mandragora: Whispers of the Witch Tree,PlayStation 5,2025-04-17,77.0,6.7,Primal Game Studio,MY.GAMES|Knights Peak|Beep Japan,Metroidvania
Tails of Iron 2: Whiskers of Winter,PC,2025-01-28,77.0,7.3,Odd Bug Studio,United Label|CI Games,Action RPG
Tails of Iron 2: Whiskers of Winter,PlayStation 5,2025-01-28,77.0,8.2,Odd Bug Studio,United Label|CI Games,Action RPG
Madden NFL 26,PlayStation 5,2025-08-14,77.0,3.9,EA Tiburon,Electronic Arts,Football Sim
Madden NFL 26,PC,2025-08-14,80.0,1.9,EA Tiburon,Electronic Arts,Football Sim
Madden NFL 26,Xbox Series X,2025-08-14,77.0,3.2,EA Tiburon,Electronic Arts,Football Sim
Blade Chimera,Nintendo Switch,2025-01-15,83.0,7.6,Team Ladybug,Playism,Metroidvania
Blade Chimera,PC,2025-01-15,77.0,5.8,Team Ladybug,Playism,Metroidvania
Hell is Us,PC,2025-09-04,78.0,7.5,Rogue Factor,Nacon|3goo,Action Adventure
Hell is Us,PlayStation 5,2025-09-04,77.0,8.1,Rogue Factor,Nacon|3goo,Action Adventure
Hell is Us,Xbox Series X,2025-09-04,78.0,9.8,Rogue Factor,Nacon|3goo,Action Adventure
Legacy of Kain: Soul Reaver 1 & 2 Remastered,PlayStation 5,2024-12-10,77.0,7.4,Aspyr,Aspyr|U&I Entertainment,Compilation
Legacy of Kain: Soul Reaver 1 & 2 Remastered,PlayStation 4,2024-12-10,76.0,8.5,Aspyr,Aspyr|U&I Entertainment,Compilation
Legacy of Kain: Soul Reaver 1 & 2 Remastered,Xbox One,2024-12-10,76.0,7.8,Aspyr,Aspyr|U&I Entertainment,Compilation
KARMA: The Dark World,PC,2025-03-27,77.0,7.8,POLLARD STUDIO LLC,Wired Productions,First-Person Adventure
KARMA: The Dark World,PlayStation 5,2025-03-27,72.0,7.9,POLLARD STUDIO LLC,Wired Productions,First-Person Adventure
Cronos: The New Dawn,PC,2025-09-05,76.0,8.0,Bloober Team,Bloober Team,Survival
Cronos: The New Dawn,PlayStation 5,2025-09-05,77.0,8.3,Bloober Team,Bloober Team,Survival
Cronos: The New Dawn,Xbox Series X,2025-09-05,80.0,9.5,Bloober Team,Bloober Team,Survival
Cronos: The New Dawn,Nintendo Switch 2,2025-09-05,76.0,9.2,Bloober Team,Bloober Team,Survival
South of Midnight,Xbox Series X,2025-04-08,77.0,6.7,Compulsion Games,Xbox Game Studios,Action Adventure
South of Midnight,PC,2025-04-08,75.0,6.2,Compulsion Games,Xbox Game Studios,Action Adventure
Hitman: World of Assassination - Signature Edition,Nintendo Switch 2,2025-06-05,77.0,4.9,Io Interactive,"Io Interactive|H2 Interactive Co., Ltd.",Compilation
Ballionaire,PC,2024-12-10,76.0,6.8,newobject,Raw Fury,Strategy
Reignbreaker,PC,2025-03-18,76.0,6.4,Studio Fizbin,Thunderful,Action RPG
"Dear me, I was...",Nintendo Switch 2,2025-07-31,76.0,6.7,Arc System Works,Arc System Works,Adventure
Patapon 1 + 2 Replay,Nintendo Switch,2025-07-11,76.0,7.4,SAS CO.|LTD.,Bandai Namco Games,Compilation
The Legend of Heroes: Trails through Daybreak II,PlayStation 5,2025-02-14,76.0,5.7,Falcom,NIS America|Falcom,JRPG
The Legend of Heroes: Trails through Daybreak II,PlayStation 4,2025-02-14,78.0,6.9,Falcom,NIS America|Falcom,JRPG
The Legend of Heroes: Trails through Daybreak II,PC,2025-02-14,69.0,7.3,Falcom,NIS America|Falcom,JRPG
RAIDOU Remastered: The Mystery of the Soulless Army,PlayStation 5,2025-06-19,76.0,8.3,Atlus,Sega|Atlus,Action RPG
RAIDOU Remastered: The Mystery of the Soulless Army,Nintendo Switch 2,2025-06-19,76.0,9.0,Atlus,Sega|Atlus,Action RPG
Revenge of the Savage Planet,PC,2025-05-08,76.0,6.7,Raccoon Logic,Raccoon Logic,Open-World Action
Revenge of the Savage Planet,Xbox Series X,2025-05-08,79.0,8.3,Raccoon Logic,Raccoon Logic,Open-World Action
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,PlayStation 5,2025-08-05,76.0,7.3,CyberConnect2,Sega|Aniplex Inc.,3D Fighting
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 2,Xbox One,2025-08-05,74.0,7.3,CyberConnect2,Sega|Aniplex Inc.,3D Fighting
"Warhammer 40,000: Dawn of War - Definitive Edition",PC,2025-08-14,76.0,6.5,Relic Entertainment,Relic Entertainment,Real-Time Strategy
Super Mario Party Jamboree: Nintendo Switch 2 Edition + Jamboree TV,Nintendo Switch 2,2025-07-24,76.0,5.3,Nintendo,Nintendo,Party
Dead Take,PC,2025-07-31,76.0,8.5,Surgent Studios,Pocketpair Publishing,First-Person Adventure
Rematch,PC,2025-06-19,75.0,6.3,Sloclap,Sloclap|Kepler Interactive,Soccer
Rematch,PlayStation 5,2025-06-19,73.0,5.9,Sloclap,Sloclap|Kepler Interactive,Soccer
Rematch,Xbox Series X,2025-06-19,75.0,6.1,Sloclap,Sloclap|Kepler Interactive,Soccer
Wild Hearts S,Nintendo Switch 2,2025-07-25,75.0,7.3,Omega Force,Koei Tecmo Games,Action RPG
Farming Simulator 25,PC,2024-11-12,75.0,5.0,Giants Software,Giants Software,Virtual Career
Farming Simulator 25,PlayStation 5,2024-11-12,64.0,4.7,Giants Software,Giants Software,Virtual Career
Farming Simulator 25,Xbox Series X,2024-11-12,70.0,4.7,Giants Software,Giants Software,Virtual Career
Atelier Resleriana: The Red Alchemist & the White Guardian,PlayStation 5,2025-09-26,75.0,8.9,Gust,Koei Tecmo Games,JRPG
Onimusha 2: Samurai's Destiny Remaster,PlayStation 4,2025-05-23,75.0,4.1,Capcom,Capcom,Action Adventure
Onimusha 2: Samurai's Destiny Remaster,Nintendo Switch,2025-05-23,81.0,5.0,Capcom,Capcom,Action Adventure
"No, I'm not a Human",PC,2025-09-15,75.0,6.3,Trioskaz,Critical Reflex,First-Person Adventure
Urban Myth Dissolution Center,PC,2025-02-12,75.0,6.1,Hakababunko,Shueisha Games,Adventure
Sniper Elite: Resistance,PC,2025-01-30,70.0,4.7,Rebellion,Fireshine Games|Game Source Entertainment,Third Person Shooter
Sniper Elite: Resistance,PlayStation 4,2025-01-30,75.0,5.4,Rebellion,Fireshine Games|Game Source Entertainment,Third Person Shooter
Sniper Elite: Resistance,PlayStation 5,2025-01-30,72.0,5.3,Rebellion,Fireshine Games|Game Source Entertainment,Third Person Shooter
Everdeep Aurora,PC,2025-07-10,75.0,8.0,Nautilus Games,Ysbryd Games,Metroidvania
Pac-Man World 2: Re-PAC,PlayStation 4,2025-09-26,75.0,8.2,Now Production Co.|Ltd.,Bandai Namco Games,3D Platformer
Gal Guardians: Servants of the Dark,Xbox Series X,2025-03-27,75.0,7.1,Inti Creates,Inti Creates,Metroidvania
Virtua Fighter 5 R.E.V.O.,PC,2025-01-28,75.0,7.8,Ryu ga Gotoku Studios,Sega,3D Fighting
Lost Records: Bloom & Rage Tape 1,PC,2025-02-18,84.0,7.5,DONTNOD Entertainment,DONTNOD Entertainment,Third-Person Adventure
Lost Records: Bloom & Rage Tape 1,PlayStation 5,2025-02-18,75.0,6.6,DONTNOD Entertainment,DONTNOD Entertainment,Third-Person Adventure
Lost Records: Bloom & Rage Tape 1,Xbox Series X,2025-02-18,81.0,7.9,DONTNOD Entertainment,DONTNOD Entertainment,Third-Person Adventure
FragPunk,PC,2025-03-06,74.0,5.8,Bad Guitar Studio,Bad Guitar Studio,Tactical FPS
Super Robot Wars Y,PlayStation 5,2025-08-28,74.0,6.2,Bandai Namco Forge Digital,Bandai Namco Games,Turn-Based Tactics
Alien: Rogue Incursion,PC,2024-12-19,78.0,5.9,Survios,Survios,Survival
Alien: Rogue Incursion,PlayStation 5,2024-12-19,74.0,7.6,Survios,Survios,Survival
Afterlove EP,PC,2025-02-14,74.0,5.0,Pikselnesia,Fellow Traveller,Adventure
WUCHANG: Fallen Feathers,PC,2025-07-24,77.0,6.7,Leenzee Games,505 Games,Action RPG
WUCHANG: Fallen Feathers,Xbox Series X,2025-07-24,81.0,7.1,Leenzee Games,505 Games,Action RPG
WUCHANG: Fallen Feathers,PlayStation 5,2025-07-24,74.0,6.8,Leenzee Games,505 Games,Action RPG
NHL 26,PlayStation 5,2025-09-12,74.0,3.9,EA Vancouver,Electronic Arts,Hockey Sim
NHL 26,Xbox Series X,2025-09-12,69.0,4.3,EA Vancouver,Electronic Arts,Hockey Sim
Mafia: The Old Country,PlayStation 5,2025-08-08,72.0,8.2,Hangar 13,2K Games,Linear Action Adventure
