game_name,release_date,price,estimated_downloads,primary_tag
Assetto Corsa EVO,2025-01-16,24.99,439600,Early Access
Sorry We're Closed,2024-11-14,12.49,84900,Survival
I Am Future Apocalypse Survival,2024-11-13,10.49,353000,Simulation
My Summer Car,2025-01-08,7.99,3660000,Simulation
Fast Food Simulator,2024-12-10,7.99,708700,Early Access
Motorcycle Night Ride,2025-03-13,3.49,3100,Simulation
Kabuto Park,2025-05-28,2.99,4500,Cute
Leila,2025-04-07,4.99,10800,Adventure
Tomb Raider IV-VI Remastered,2025-02-14,14.99,92700,Action
Splitgate 2 - Beta,2025-05-22,0.0,679300,Action
White Knuckle,2025-04-17,7.29,91400,Early Access
Deliver At All Costs,2025-05-22,14.99,19100,Action
The Legend of Heroes: Trails through Daybreak II,2025-02-14,42.99,25400,Action
Wild Woods,2024-12-09,8.49,121000,Early Access
Pro Basketball Manager 2025,2024-11-18,14.99,6400,Sports
Laundry Store Simulator,2024-12-09,3.99,54900,Simulation
"Warhammer 40,000: Speed Freeks",2025-05-22,10.49,707400,Combat
Bloodshed,2025-05-22,7.29,41900,Roguelike
To Pixelia,2025-05-01,7.99,25200,Simulation
Epic Auto Towers,2024-11-14,7.99,42700,Early Access
PARANOIA PLACE,2025-04-09,4.99,75400,Puzzle
Infinity Nikki,2025-04-28,0.0,423800,Open World
Legend of Heroes: Three Kingdoms,2025-03-26,10.49,343400,Early Access
PlayM2M,2025-03-28,0.0,7100,Early Access
Sunset Motel,2025-04-18,9.89,20900,Simulation
Liquor Store Simulator,2025-05-02,3.99,12400,Simulation
Tower Dominion,2025-05-08,9.29,92100,Building
Amenti,2025-01-05,3.99,65200,Horror
to a T,2025-05-28,9.49,380,Adventure
Blackjack 21: Blackjackist,2025-04-29,0.0,12300,Card Game
Blood Strike,2025-03-13,0.0,1060000,Action
Tales of Seikyu,2025-05-21,12.49,13600,Simulation
CONERU -DIMENSION GIRL-,2025-05-28,10.49,210,2D
Pieces of me,2025-05-22,4.99,3200,Horror
Farming & Supermarket Simulator,2025-04-21,4.99,11800,Early Access
Electrician Simulator VR,2025-03-21,9.89,502,Simulation
Blood Bar Tycoon,2025-02-04,10.49,25200,Simulation
Torque Drift 2,2024-11-28,10.49,10200,Early Access
Automate It: Factory Puzzle,2025-05-27,6.49,480,Simulation
Project Warlock II,2025-05-28,8.99,87900,FPS
KLETKA,2024-12-13,5.79,314900,Early Access
Haydee 3,2025-02-28,14.99,10000,Shooter
SUPERVIVE,2024-11-20,0.0,2210000,Shooter
Kingdom's Deck,2025-04-28,4.99,27200,Building
Better Mart,2025-05-16,7.99,6600,Simulation
Grocery Store Simulator,2024-11-21,7.99,284100,Simulation
Spilled!,2025-03-26,3.59,92300,Adventure
